folder_name,page_title,type,link,id
"""TEST/z_Original Word-Versions of Docs for Editing / WIP/Word Versions for Future Edits""","""z_NOTFORSHARING_Yorkshare - Submission Point Troubleshooting - Student Guide""",doc,https://docs.google.com/document/d/1uDDW29xjfK-sK61hUGIvC_ZUQE6bWICDOBRbH4OrwTY,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP/Word Versions for Future Edits""","""z_NOTFORSHARING_Yorkshare - Submission Point Troubleshooting - Student Guide.docx""",application/vnd.openxmlformats-officedocument.wordprocessingml.document,https://drive.google.com/file/d/0BzxHfs7XbRU8SW92N1djNWhPTjQ,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP/Word Versions for Future Edits""","""z_NOTFORSHARING_Yorkshare - Submission Point Troubleshooting - Student Guide.pdf""",application/pdf,https://drive.google.com/file/d/0BzxHfs7XbRU8OFRGanF2ZGdxek0,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP""","""marking start""",slides,https://docs.google.com/presentation/d/1pz9oAPeHY2BBDVXy-1z4EmTS_rpfQ05mNSeFg83pTxk,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP""","""RETIRED_Yorkshare - Submission Point Troubleshooting - Student Guide - Flowchart Version.pdf""",application/pdf,https://drive.google.com/file/d/0BzxHfs7XbRU8VEd2OXNCVUdrQkU,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP""","""sample-groupmembers.csv""",text/csv,https://drive.google.com/file/d/0B2nIcZo231k1WkZnMWI4YkRFdDg,
"""TEST/z_Original Word-Versions of Docs for Editing / WIP""","""sample-groups-batch-create.csv""",text/csv,https://drive.google.com/file/d/0B2nIcZo231k1UTQ4Z1dKaWI1Y3M,
"""TEST/Box View""","""Yorkshare Guide - Students - Downloading & Viewing Annotated Assignments from the VLE""",doc,https://docs.google.com/document/d/1ZIdWc-_nH4XgFTKzceu8saFVVu55gcQ9hfNOvfotc84,
"""TEST/Box View""","""Yorkshare Guide - Staff - Using New ""Box View"" Mark Up Tool To Create New Annotations - One Pager""",slides,https://docs.google.com/presentation/d/1-sCLdjjLaI0U7FwhRUuKv13zWaWq5NE0ouhssnIcZGQ,
"""TEST/Box View""","""Yorkshare Guide - All - Using New ""Box View"" To View New (post-07.12.17) Annotations - One Pager""",slides,https://docs.google.com/presentation/d/1fDFYZpAhPSffok5jGmDLtQNCdQztjaa41u2qAb_ZNco,
"""TEST/Box View""","""Yorkshare Guide - All - Using New ""Box View"" To View Old (pre-07.12.17) Annotations - One Pager""",slides,https://docs.google.com/presentation/d/1L7AIlMpmfr127FMIrBvZmlgNoKr1bWfX8090aO3pQcM,
"""TEST/Dept. Admin Guidance""","""Admins - Mapping a Network Drive to a vlesitsfeedback Subfolder""",doc,https://docs.google.com/document/d/1sYvVsUYIMiRmOYR-XtIHEV9StecbdKv20z3kmotKu_M,
"""TEST/Dept. Admin Guidance""","""Admins - File Names with Special Characters""",doc,https://docs.google.com/document/d/1GA9yy9xK3LEk_e9PGykiKNCxvRBRPMIhs1Hx2xm2XQg,
"""TEST/Dept. Admin Guidance""","""Admins - Faulty, Atypical Submitted Files""",doc,https://docs.google.com/document/d/1bHqv4ZNtzx_XUtL_KYGVx0DCQ19MEtA3aiEB-mEWw7c,
